,번호,본문,요약문,중요단어,추출단어
721,730,"조선 영조 때 사간원 사간, 사헌부 집의 등을 지낸 이석구 선생이 지은 집이다. 교리댁이라 한 것은 홍문관 교리를 역임했기 때문이라 한다. 서향의 대문채를 들어서면 곧바로 사랑마당이 있고, 사랑 왼쪽에 서재가 있으며 뒤쪽에 사당이 있다. 안채는 중문채를 사이에 두고 사랑채와 떨어져 있다. 안채는 앞면 7칸·옆면 1칸 집으로 중앙에 2칸의 대청이 있고 대청 양쪽에 방이 2칸씩 있으며, 동쪽에 부엌이 배치되어 있다.  사랑채는 앞면 5칸·옆면 2칸 집으로 왼쪽 대청 2칸은 문을 달아서 자유롭게 열고 닫을 수 있게 하였다. 동쪽에 반칸 아궁이가 설치되어 있으며 뒷간, 다락 등이 있어 구성이 특이하다. 중문간은 중문과 사랑채 사이 공간에 담을 쌓아 내·외담을 만든 것이 흥미롭다. 원래는 안채의 남쪽에 중문채가 있었다고 한다. 전체적으로 튼 ㅁ자형을 이루고 있으며, 각 건물이 독립해 있는 것은 경상북도 지방에서는 보기 드문 예이다.",이석구 선생이 지은 집은 경상북도 지방에서는 보기 드물게 각 건물이 독립해 있다.,"이석구,사간원,외담,조선,영조,사헌부","조선,영조,때,사간원,사헌부,집의,등,이석구,선생,지은,집,교리,댁,것,홍문관,교리,역임,때문,서향,채,곧바로,사랑,마당,사랑,왼쪽,서재,뒤쪽,사당,중문,채,사이,사랑,채,앞,칸,옆면,칸,집,중앙,칸,대청,대청,양쪽,방이,칸,동쪽,부엌,배치,사랑,앞,칸,옆면,칸,집,왼쪽,대청,칸,문,수,동쪽,칸,아궁이,설치,뒷간,다락,등,구성,중문,중문,사랑,채,사이,공간,담,내,외담,것,원래,남쪽,중문,채,전체,자형,각,건물,독립,것,경상북도,지방,보기,예"
722,731,"은행나무는 살아 있는 화석이라 할 만큼 오래된 나무로 우리나라, 일본, 중국 등지에 분포하고 있다. 우리나라에는 중국에서 유교와 불교가 전해질 때 같이 들어온 것으로 전해지고 있다. 가을 단풍이 매우 아름답고 병충해가 없으며 넓고 짙은 그늘을 제공한다는 장점이 있어 정자나무 또는 가로수로도 많이 심는다. 공덕면의 은행나무는 나이가 650년 정도로 추정되며, 높이는 15m, 가슴둘레의 지름은 약 150㎝이다. 8개의 가지가 사방으로 갈라져 있으며 경로당 옆에 있어서 주민들의 쉼터가 되고 있다. 마을 사람들은 해마다 음력 1월 3일날 나무 밑에 모여 마을의 안전과 평안을 기원하는 제사(당산제)를 지내고 있다. 공덕면의 은행나무는 오랜 세월동안 조상들의 관심과 보살핌 가운데 살아왔으며 마을 주민들의 정신적 중심이 되고, 민속적·문화적 가치가 높아 기념물로 지정하여 보호하고 있다.",정자나무나 가로수로 많이 심는 은행나무는 오래된 나무이며 우리나라에는 중국에서 불교가 전해질 때같이 들어온 것으로 전해져 있다.,"당산,유교,공덕면,병충해,경로당,중국,불교","은행나무,살,화석,만큼,나무,우리나라,일본,중국,등지,분포,우리나라,중국,유교,불교,전해질,때,것,가을,단풍,매우,병충해,그늘,장점,정자나무,가로수로,공덕면,은행나무,나이,정도,추정,가슴,둘레,지름,약,개,가지,사방,경로당,옆,주민,터,마을,사람,음력,나무,밑,마을,안전,평안,기원,제사,당산,제,를,공덕면,은행나무,세월,동안,조상,관심,가운데,마을,주민,정신,중심,민속,문화,가치,기념물,지정,보호"
723,732,"경주지역에서 사육된 것으로 알려진 동경이는 <동경잡기(東京雜記)> ,  <증보문헌비고(增補文獻備考)>   등 옛 문헌에 자주 등장하였고, 신라고분에서 토우로 발굴되는 등 그 역사적·문화적 가치가 크다.    현재 경주에서 사육 중인 경주개 동경이는 단미(短尾)·무미(無尾)를 특징으로 하는 문헌 기록과 외형적으로 일치하고, 유전자 분석결과 한국 토종개에 속하는 고유 견종으로 밝혀졌다.    아울러 경주개 동경이는 개체 이력관리, 질병관리, 번식관리, 혈통관리를 위한 시스템 구축과 운영 등 체계적인 보호·관리를 통해 300여 두가 사육되고 있다. ",경주지역에서 사육된 것으로 알려진 경주개 동경이는 옛 문헌에 자주 등장한 외형적인 특징과 일치하고 유전자 분석결과 한국 고유 견종으로 밝혀졌다.,"견종,개체,사육,토종,토우","지역,사육,것,경이,동경잡기,증보,문헌비고,등,문헌,자주,등장,신라고,토우,발굴,등,그,역사,문화,가치,현재,경주,사육,중인,경주,경이,단,무미,를,특징,문헌,기록,외형,일치,유전자,분석,결과,한국,토종,속,고유,견종,경주,경이,개체,이력,관리,질병,관리,번식,관리,혈통,관리,위,시스템,구축,운영,등,체계,보호,관리,통해,여,두,사육"
724,733,"대불정다라니는 우리나라에서 가장 널리 유통된 다라니 중 하나로 대불정여래가 마음속에서 불교의 진리를 깨닫는 것을 의미한다. 다라니를 모은 것을 진언집(眞言集)이라 하며 조선시대에는 ‘대불정다라니’등 5종의 다라니를 모아 편집한『오대진언집』이 널리 유통되었다. 닥종이에 찍은 목판본으로 병풍처럼 펼쳐서 볼 수 있는 첩장의 형태이며, 접었을 때의 크기는 세로 25.6㎝, 가로 8.8㎝이다. 간행기록이 없어서 정확한 시기는 알 수 없으나 판각한 글자가 많이 닳고 인쇄가 깨끗하지 못한 것으로 보아 고려말에 새기고 조선초에 찍어낸 것으로 보인다.",다라니 5종을 모아 엮은 오대진언집은 펼쳐서 볼 수 있는 병풍 형태이며 닥종이에 찍은 목판본이다.,"진리,목판본,조선,불교","대불,정,다라니,우리나라,가장,널리,유통,다라니,중,하나로,대불,정,여래,마음속,불교,진리,것,의미,다라니,것,진언,집,조선시대,대불,정,다라니,등,종,다라니,편집,진언,집,이,널리,유통,닥종이,목판본,병풍,볼,수,첩,형태,때,크기,세로,가로,간행,기록,시기,알,수,판각,글자,인쇄,못,것,보아,고려말,조선,초,것"
725,734,"조선 현종 때, 대동법을 주장하여 시행토록 한 김육 선생의 공을 기리기 위해 세운 비이다. 김육(1580∼1658)은 실학사상을 바탕으로 제도개혁을 추진한 조선 후기의 문신이다. 선조 38년(1605) 과거에 급제하여 관직에 나아가 충청도 관찰사, 도승지, 우의정, 좌의정, 영의정 등을 지냈다. 그는 특히 각 지방의 토산물을 바치게 하는 공물법을 폐지하고 쌀과 포로 대신하는 대동법의 실시를 주장하였는데, 이 대동법의 실시로 농민의 부담을 줄이고, 국가의 재정도 나름대로 확보하게 되었다. 비는 거북받침 위에 비몸을 세우고 머릿돌을 얹었다. 머릿돌에는 서로 노려 보는 두 마리의 용의 모습을 생동감 있게 조각해 놓았다. 비에 새긴 ‘순치 17년명’이라는 기록으로 보아, 현종 1년(1660)에 이 비를 세웠던 것으로 짐작된다.","김육 선생의 공을 기리며 세운 이 비는 비몸을 세우고 생동감 있는 두 마리의 용 모습이 조각된 머릿돌을 얹었다.
","조선,영의정,대동법,도승지,현종","조선,현종,때,대동법,주장,시행,김육,선생,공,리기,위해,세운,비,김육,은,실학,사상,바탕,제도,개혁,추진,조선,후기,문신,선조,과거,급제,관직,충청도,관찰사,도승지,우의정,좌의정,영의정,등,그,각,지방,토산물,바치,공물,법,폐지,쌀,포로,대신,대동법,실시,주장,이,대동법,실시,농민,부담,줄,국가,재정,나름,확보,거북,받침,위,비몸,머릿돌,머릿돌,서로,두,마리,용의,모습,생동감,조각,비,순치,기록,보아,현종,이,비,것,짐작"
726,735,"관음송은 영월의 청령포 안에서 자라고 있으며 나이는 600년 정도로 추정된다. 높이 30m, 가슴높이 둘레 5.19m의 크기로 1.6m되는 높이에서 줄기가 두 갈래로 갈라져 하나는 위로 하나는 서쪽으로 약간 기울어져 자라고 있다.  청령포는 세조 2년(1456)에 왕위를 빼앗긴 단종이 유배되었던 곳으로 단종은 유배생활을 하면서 둘로 갈라진 이 나무의 줄기에 걸터앉아 시간을 보냈다고 한다. 관음송(觀音松)이라는 이름은 단종의 비참한 모습을 지켜보았다고 해서 ‘볼 관(觀)’자를, 단종의 슬픈 말소리를 들었다하여 ‘소리 음(音)’자를 따서 붙인 것이라고 한다. 나라에 큰 일이 있을 때마다 나무의 껍질이 검은색으로 변하여 나라의 변고를 알려 주었다하여 마을 사람들은 이 나무를 귀하게 여기고 있다.  이 나무는 단종과 관련된 전설을 가지고 있는 등 역사적·학술적 자료로서의 보존가치가 인정되어 천연기념물로 지정하여 보호하고 있다.",관음송은 단종과 관련된 전설을 가지고 있다는 점에서 가치가 인정되어 천연기념물로 보호되고 있다.,"단종,말소리,청령포,영월,걸터,관음송,세조","관음송,영월,청령포,안,나이,정도,추정,높이,가슴,높이,둘레,의,크기,높이,줄기,두,갈래,하나,위로,하나,서쪽,약간,청령포,세조,왕위,단종,유배,곳,단종,유배,생활,둘,이,나무,줄기,걸터,시간,관음송,이름,단종,모습,볼,관,단종,말소리,소리,음,것,나라,때,나무,껍질,검은색,나라,변,마을,사람,이,나무,여기,이,나무,단종,관련,전설,가지,등,역사,학술,자료,로서,보존,가치,인정,천연기념물,지정,보호"
727,736,"곰솔은 소나무과로 잎이 소나무 잎보다 억세기 때문에 곰솔이라고 부르며, 소나무의 겨울눈은 붉은색인데 반해 곰솔은 회백색인 것이 특징이다. 바닷가를 따라 자라기 때문에 해송으로도 부르며, 또 줄기 껍질의 색이 소나무보다 검다고 해서 흑송이라고도 한다. 바닷바람과 염분에 강하여 바닷가의 바람을 막아주는 방풍림이나 방조림으로 많이 심는다. 고흥 옥하리 곰솔은 나이가 300년 정도로 추정되며, 높이는 14m, 둘레는 127∼130㎝이다. 흥양현 읍성(전남기념물 제35호)의 사면에 독립수인 노거수가 주위의 사방림으로 심어진 20여 그루의 곰솔과 함께 있으며, 하상에는 멀구슬나무·옻나무·예덕나무·산초나무·밤나무·마삭줄·담쟁이덩굴·억새 등이 뒤섞여 있다. 이 노거수 바로 밑에 100여년 전 영광군수를 지낸 김정태가 취송정이라는 정자를 지어 오늘에까지 관리되고 있다. 고흥 옥하리 곰솔은 크기나 외형, 주변경관 등이 뛰어나고 노거수로서, 유전자원으로 보존 가치가 충분하다.","주변경관, 외형이나 크기가 뛰어난 고흥 옥하리 곰솔은 나이가 300년 정도로 추정된다.","마삭줄,사방림,산초나무,예덕나무,밤나무,옻나무,담쟁이덩굴","곰솔,소나무,과로,잎,소나무,잎,때문,곰솔,소나무,겨울,눈,은색,곰솔,회,백색,것,특징,바닷가,때문,해송,또,줄기,껍질,색,소나무,흑송,바,바람,염분,바닷가,바람,방풍림,방,조림,고흥,옥,하리,곰솔,나이,정도,추정,둘레,흥,양현,읍성,전남,기념물,제,호,의,사면,독립,수인,주위,사방림,여,그루,곰솔,상,멀구슬나무,옻나무,예덕나무,산초나무,밤나무,마삭줄,담쟁이덩굴,억새,등,뒤,이,바로,밑,년,전,영광,군수,김정태,취송정,정자,오늘,관리,고흥,옥,하리,곰솔,크기,외형,주변,경관,등,수로,유전자,보존,가치"
728,737,"조선 중종 17년(1522) 왕가의 외손자 안요가 후학을 교육하고 양성하려는 목적으로 세운 건물이다. 후학들이 세상을 부끄러움 없이 살아가라는 뜻에서 ‘무첨재’로 이름지었다고 한다. 1872년 화재로 일부가 타버려 고쳐지었고 1911년, 1948년에도 수리하였는데 지금 있는 건물은 1994년에 고친 것이다.  앞면 4칸·옆면 2칸 규모로 지붕은 옆모습이 여덟 팔(八)자 모양과 비슷한 팔작지붕이다. 지붕 처마를 받치기 위해 기둥 윗부분에 만든 공포는 새 날개 모양으로 장식하여 짜 맞추는 수법(익공 양식)을 이용하였다. 가운데 2칸에 널따란 마루를 두어 대청으로 꾸몄고 양쪽 끝방은 온돌방으로 만들었다.  무첨재는 조선 후기 건축기법을 잘 간직하고 있는 건물이다.",무첨재는 조선 중종 17년 후학을 양성하고 교육하려는 목적으로 안요가 세운 건물이고 조선 후기 건축기법을 간직한 건물이다.,"조선,중종,끝방","조선,중종,왕가,외손자,안,요가,후학,교육,양성,목적,세운,건물,후학,세상,부끄러움,뜻,무,재,로,화재,일부,타,수리,지금,건물,것,앞,칸,옆면,칸,규모,지붕,옆모습,여덟,팔,자,모양,지붕,지붕,처마,위해,기둥,부분,공포,새,날개,모양,장식,수법,익공,양식,이용,가운데,칸,널,마루,대청,양쪽,끝방,온돌방,무,재는,조선,후기,건축,기법,간직,건물"
729,738,"매학정은 초성이라 불리는 고산 황기로의 유적이다. 황기로는 이곳에서 자연을 벗삼아 서예를 즐겼으며, 진사시험에 합격했으나 벼슬길을 버리고 은둔하면서 학문에 임했다고 한다. 특히 초서를 잘 써서 초성(草聖)이라 불릴 정도의 명필가였다. 중종 28년(1533)에 처음 지어진 이곳은 본래 황기로의 할아버지인 상정공 황필의 휴양지였으나, 할아버지의 뜻을 받들어 정자를 다시 짓고 매학정이라 하여 서재로 사용하였다. 뒤에 그의의 사위인 옥산 이우의 소유가 되었다가, 임진왜란(1592) 때와 철종 13년(1862)의 2차례에 걸쳐 화재로 타 버린 것을 다시 지어 현재에 이르고 있으며, 1970년 전면 보수하였다.",중종 28년에 처음 지어진 매학정은 상정공 황필의 뜻을 받들어 다시 짓고 서재로 사용하였다.,"황필,이우,중종,옥산,임진왜란,철종","학,정은,초성,고산,황기,의,유적,황기,곳,자연,벗,서예,진사,시험,합격,벼슬길,은둔,학문,임,초서,초성,정도,명필,중종,처음,곳,본래,황기,의,할아버지,상,정공,황필,휴양지,할아버지,뜻,정자,다시,학,정이,서재,사용,뒤,의의,사위,옥산,이우,소유,임진왜란,때,철종,의,차례,화재,타,것,다시,현재,전면,보수"
730,739,"농요는 논이나 밭에서 일을 하면서 피로를 잊고 능률을 올리기 위해 부르는 노래로 들노래 또는 농사짓기소리라고도 한다. 토속민요의 하나로 개인 또는 집단적으로 부르며, 지방에 따라서 노래가 달라질 수도 있다. 예천 공처농요는 낙동강 연안을 중심으로 널리 전승되던 노동요이다. 내륙의 외딴 마을이었기에 이웃 문화의 유입과 혼합됨이 없이 오직 이 마을에서만 불려진 순수한 민요이다. 내용은 모심기노래·논매기소리·타작소리·걸채소리·칭칭이(쾌지나칭칭) 등으로 짜여진다. 모심기노래는 모를 심으면서, 논매기소리는 논을 매면서, 타작소리는 보리를 타작하면서, 칭칭이는 논매기 후에 밭을 나오면서 부르는 노래이다. 이 민요는 가장 원시적인 형태라고 한다. 예천 공처농요는 향토색을 지닌 채 전승되어 왔으며, 농민의 슬픔과 기쁨을 담고 있다. 예천군 풍양면에 살고 있는 예능보유자 황기석씨가 그 맥을 이어가고 있다.",낙동안 연안을 중심으로 전승되던 예천 공처농요는 농인의 슬픔과 기쁨을 담아 외딴 마을에서 불려진 민요이다.,"토속민요,연안,예천군,노동요,민요,풍양면","농요,논,밭,일,피로,능률,리기,위해,노래,노래,소리,고도,토속민요,하나로,개인,집단,지방,따라서,노래,수도,예천,공처,농요,낙동강,연안,중심,널리,전승,노동요,내륙,외딴,마을,이웃,문화,유입,혼합,오직,이,마을,민요,내용,모심기,노래,논,매기,소리,소리,걸채,소리,칭칭,칭칭,등,모심기,노래,논,매기,소리,논,소리,보리,타작,칭칭,논,매기,후,밭,노래,이,민요,가장,원시,형태,예천,공처,농요,향토색,채,전승,농민,슬픔,기쁨,예천군,풍양면,살,예능,보유,황기,석씨,그,맥,어가"
731,740,"태실은 왕이나 왕실 자손의 태를 모셔두는 돌로 만든 방으로, 이곳은 조선시대 어느 왕녀의 태항아리를 보관했던 곳이다.  태실의 주인공은『밀주구지』의 기록으로 보아 조선 성종 때의 신숙공주로 짐작되나 확실하게 밝혀진 것은 없다. 오래전에 도굴되어 태항아리와 함께 윗부분이 없어진 채 태실 앞에 세운 두 개의 표석과 원형의 아래 일부만 남아있다. 표석은 앞면에 ‘왕녀태실’이라는 글자를 새겨 놓았고, 뒷면에는 ‘성화십칠년시월십일’이라는 연대를 적어 놓았다. 태실의 제작연대는 표석에 새긴 ‘성화 17년’이라는 기록으로 보아 조선 성종 12년(1481)임을 알 수 있다.",조선시대 어느 왕녀의 태항아리를 보관했던 태실은 밀주구지의 기록으로 보면 신숙 공주로 짐작되나 확실하진 않다.,"표석,시월,신숙공주,구지,조선,태실,성종","태실,왕,왕실,자손,태,돌,방,곳,조선시대,왕녀,태,항아리,보관,곳,태실,주인공,밀주,구지,의,기록,보아,조선,성종,때,신숙공주,짐작,것,도굴,태,항아리,부분,채,태실,앞,세운,두,개,표석,원형,아래,일부,표석,앞면,왕녀,태실,글자,면,성화,년,시월,십일,연대,태실,연대,표석,성화,기록,보아,조선,성종,임,알,수"
732,741,"이 성책은 사찰의 토지대장으로, 실상사 소유토지대장 중 일부분이지만 여기에서 250년전의 조계종사찰 재정을 알 수 있을 뿐만 아니라 실상사의 토지재산을 알 수 있다. 크기는 세로 66㎝, 가로 46㎝이며, 전후 표지를 합해 19매이다. 내용을 보면 실상사의 본사(本寺)와 여러 소속암자의 토지 및 불양답(佛養畓:사찰에 기증한 토지)을 구분하고, 전답의 소재지·명칭·위치·형태·등급·경작인·조세 등을 표시하고 있다. 그리고 각 전답에는 이 절의 소유토지의 기장번호가 있다. 이것은 250년전에 시행된 토지대장의 정리·측량법· 세제·소유자와 경작권·경작권의 실제 등을 파악할 수 있으며, 실상사의 옛 모습을 고찰할 수 있는 자료로 평가된다.",사찰의 토지대장인 이 성책은 조계종사찰 재정과 실상사의 토지재산을 알 수 있고 250년 전에 시행된 토지대장의 정리·측량법 등을 파악할 수 있다.,"토지대장,본사,조세,조계종","이,성책,사찰,토지대장,실상사,소유,토지대장,중,일부분,여기,조계종,사찰,재정,알,수,뿐,실상사,토지,재산,알,수,크기,세로,가로,전후,표지,매,내용,실상사,본사,여러,자의,토지,및,불,답,사찰,기증,토지,구분,전답,소재지,명칭,위치,형태,등급,경작,조세,등,표시,각,전답,이,절의,소유,토지,기장,번호,것,시행,토지대장,정리,측량,법,세제,소유자,경작,경작,실제,등,파악,수,실상사,모습,고찰,수,자료,평가"
733,742,"원래 고금운회거요는 중국 원나라 황공소(黃公紹)가 편집한 것을 태충(態忠)이 보완하여 해설을 달아 30권으로 편성한 음운서이다. 이 판본은 조선 세종 16년(1434)에 경상도도관찰출척사로 부임한 신인손이 『운회거요』가 간행되지 못한 것을 알고 세종에게 이를 아뢰어 경주부와 밀양부에서 간행하게 된 것이다.  그 간행에 있어 신인손 이외에 도사 박근, 경주부윤 김을신 등 여러 관리가 관여하였고, 판을 새기는 데에는 대선사(大禪師) 홍희 이하 20여 명의 승려와 이종생 이하 여러 민간인 등 총 109명이 참여하였다.  비교적 정교하게 새겨졌으며, 인쇄가 깨끗하여 원래 판본의 특징이 그대로 나타나 있다. 또한 이 책은 세종 29년(1447)에 완성된『동국정운』의 기본이 된다는 점에서 음운학상 매우 중요한 자료로 평가된다.",고금운회거요의 판본인 운회거요가 세종 16년에 간행되지 못한 것을 신인손이 세종에게 알려 간행한 것이다.,"고금,세종,동국정운,음운학,태충,부윤,운회거요","원래,고금,운회거요,중국,원나라,황,공소,편집,것,태충,이,보완,해설,달,권,편성,음운,이,판본,조선,세종,경상도,관찰,척사,부임,신인,손,운회거,간행,못,것,알,세종,경주부,밀양,부,간행,것,그,간행,신인,손,이외,도사,박,경주,부윤,등,여러,관리,관여,판,데,대선사,홍희,이하,여,명의,승려,이종,생,이하,여러,민간인,등,총,명,참여,비교,인쇄,원래,판본,특징,그대로,또한,이,책,세종,완성,동국정운,의,기본,점,음운학,매우,자료,평가"
734,743,"부도는 승려의 무덤을 상징하여 그 유골이나 사리를 모시는 곳이다. 청도리 마을 입구의 논 가운데 자리하고 있는 이 부도는 그 주인공은 알 수 없으나, 귀신사 전성기에 이곳까지도 절의 경내였음을 짐작해 주는 유물이다.  모든 부재가 8각형을 기본으로 기단부(基壇部)와 탑신부(塔身部), 머리장식으로 구성되어 있다. 기둥처럼 길쭉한 기단의 가운데받침돌은 여러겹의 연꽃을 두른 윗받침돌을 받치고 있다. 그 위에는 탑신의 몸돌과 여덟 귀퉁이가 높이 치켜 올라간 지붕돌을 얹었다. 꼭대기에는 둥근 공모양의 머리장식이 놓여 있다. 전체적으로 각 부재의 비례가 맞지 않아 안정감이 없고 조각 장식이 소박한 편으로, 고려시대에 세운 것으로 추정된다.","주인공을 알 수 없는 이 부도는 고려시대에 세운 것으로 추정된다.
","고려시대,탑신","부도,승려,무덤,상징,그,유골,사리,곳,청,도리,마을,입구,논,가운데,자리,이,부도,그,주인공,알,수,신사,전성기,곳,절의,경내,음,짐작,유물,모든,부재,각형,기본,단부,탑,신부,머리장식,구성,기둥,기단,가운데,받침돌,겹,연꽃,받침돌,그,위,탑신,몸돌,여덟,귀퉁이,높이,지붕,돌,꼭대기,모양,머리장식,전체,각,부재,비례,안정감,조각,장식,편,고려시대,세운,것,추정"
735,744,"선광사에 소장되어 있는 목판본류 불경전적은 59종 164책이다.이 중 불교경전 16종, 조사어록류 33종, 의례류 10종으로 의식에 관한 10종을 제외하고는, 모두 강원에서 학승들의 교재 등으로 읽혀졌던 경전과 조사어록들이다.이 가운데 임진왜란 이전에 개간된 전적류는 3종으로 치문경훈 · 예수십왕생칠제의찬요 · 불조역대통재 등이다. 본 불서는 시대별로 간기를 달리하고 있을 뿐만 아니라, 언문ㆍ구결등에 대한 관련 자료(지장보살본원경. 미타경언해. 왕랑반혼전)들이 있어 서지학ㆍ언어학ㆍ국문학 연구에도 매우 중요한 자료로 활용되고 있다.선광사 소장 목판본류 불경전적 일괄(59종)은 당초 경남 함양군 지리산 영원사에 소장되어 있었으나, 1980년 4월 수열화상에 의하여 선광사로 이운 보존되고 있다.",치문경훈 · 예수십왕생칠제의찬요 · 불조역대통재 등 전적류 3종은 서지학ㆍ언어학ㆍ국문학 연구에 활용되고 있다.,"선광사,영원사,임진왜란,지장보살,불교경전","선광사,소장,목판,본류,불경,전적,종,책,이,중,불교경전,종,조사,어록,류,종,의례,류,종,의식,관,종,제외,모두,강원,학승,교재,등,경전,어록,이,가운데,임진왜란,이전,개간,전적,류,종,치,훈,왕생,제의,찬,불,조역,대통,재,등,불,시대,별로,간기,달리,뿐,언문,구결,등,대한,관련,자료,지장보살,경,미타,언해,왕랑,혼전,서지학,언어학,국문학,연구,매우,자료,활용,선광사,소장,목판,본류,불경,전적,일괄,종,은,당초,경남,함양군,지리산,영원사,소장,화상,선광사,운,보존"
736,745,"광흥사 대웅전의 벽화부재(2건 19점)와 기타부재(1건 4점)이다. 불전(佛殿)이 해체되면서 내부 빗천장에 그려진 주악천인도와 운룡도, 그리고 기타의 묵서명문(墨書銘文) 부재 등이 수습되었는데, 묵서를 통해 1770년에 ‘富一(부일)’이란 화승(畵僧)이 그렸음이 확인되어 주목된다. 부일은 18세기 중후반기 경상도 지역에서 주로 활동한 인물로서 다수의 작품이 전해진다. 경북 일대의 주불전에 주악천인도와 운룡도가 그려진 사례는 빈번하지만, 제작 시기나 제작자가 알려진 것은 없다.  광흥사 대웅전의 벽화와 기타부재는 비록 완전한 상태는 아니지만, 뛰어난 필력과 대담한 구성이 돋보이는 벽화이며 제작자를 알 수 있는 묵서가 있어 조선 후기 천정 벽화의 제작시기를 판단하는데 중요한 기준작이 된다.",대담한 구성과 뛰어난 필력이 돋보이는 벽화인 광흥사 대웅전의 벽화부재와 기타부재는 묵서로 제작사를 알 수 있어 조선 후기 천정 벽화의 제작 시기를 판단할 때 기준작이 된다.,"묵서가,운룡도,반기,대웅전,광흥,조선","광흥,사,대웅전,벽화,부재,건,점,기타,부재,건,점,불전,이,해체,내부,빗,천장,주악,인도,운룡,기타,묵,명문,부재,등,수습,묵,를,통해,부일,이란,화승,이,확인,주목,부일,세기,중후,반기,경상도,지역,주로,활동,인물,로서,다수,작품,경북,일대,불전,주악,인도,운룡도,사례,빈번,제작,시기,제작자,것,광흥,사,대웅전,벽화,부재,비록,상태,필,구성,벽화,제작자,알,수,묵서가,조선,후기,천정,벽화,시기,판단,기준,작"
737,746,"『 망우당선생문집』책판은 임진왜란 때 최초로 의병을 일으켜 전공을 세운 곽재우의 시문과 연보 및 부록 등을 판각한 것이다. 이 책판은 3차에 걸쳐 내용을 고치고 첨가하여 간행되었는데, 이것은 3차에 해당되는 것으로 영조 47년(1771)에 간행된 것이다.부록인 창의록책판은 임진왜란 당시 곽재우가 의령에서 의병을 일으킬 때 함께 참여한 사람들의 명단인 『용미음미록』 과 정유재란 때 곽재우와 함께 창녕의 화왕산입성을 방어했던 경상도 의사들의 명단인 『화왕산성동고록』 및 『화왕수성각』등을 판각한 책판이다. 곽원갑 등이 편집하고 저술하여 영조 8년(1732)에 경상감사 조현명에게 서문을 받고, 영조 10년(1734)에 경상감사 김시형에게 서문을 받았다. 이것은 임진왜란사 연구에 있어 특히 경상도 지역의 활약을 연구하는데 귀중한 자료이다.",임진왜란 때 전공을 세운 곽재우의 부록 등을 판각한 망우당선생문집 책판은 영조 47년에 간행되었다.,"화왕산성,곽원갑,화왕산,영조,정유재란,임진왜란,망우당","망우당,선생,문집,책판,임진왜란,때,최초,의병,전공,세운,곽재우,시문,연보,및,부록,등,판각,것,이,책판,차,내용,고치,첨가,간행,것,차,해당,것,영조,간행,것,부록,창의,록,책판,임진왜란,당시,곽재우,의령,의병,때,참여,사람,명단,용,미음,과,정유재란,때,곽재우,창녕,화왕산,입성,방어,경상도,의사,명단,화왕산성,동고,록,및,화왕,수성,각,등,판각,책판,곽원갑,등,편집,저술,영조,경상,감사,현명,서문,영조,경상,감사,김시,서문,것,임진왜란,사,연구,경상도,지역,활약,연구,자료"
738,747,"천고사 미륵전 안에 모시고 있는 이 석불좌상은 미륵불상으로 알려지고 있으나, 손모습으로 보아 석가여래가 책상다리를 하고 앉아있는 모습으로 보인다. 광배 윗 부분은 잘려나갔으며, 얼굴의 눈과 코 부위 등은 심하게 닳았고, 채색의 흔적이 일부 남아있다. 이 불상은 몸체에 비해 얼굴부위가 크게 묘사되어 있으며, 오른쪽 어깨를 완전히 드러낸 옷차림을 하고 있다. 큼직하게 표현된 두 손은 부처가 모든 악마를 굴복시켜 없앤다는 손 모양새를 취하고 있다. 천고사는 고려 초에 원광스님이 세웠다고 전해지는데, 이 불상은 제작 기법 등으로 보아 고려말에 지방에서 만든 작품으로 보인다.",이 석불좌상은 고려 초에 세워졌다는 천고사의 미륵전 안에 있으며 고려 말 작품으로 보인다.,"불상,미륵불,석가여래,석불좌상,원광,미륵","고사,미륵,전,안,모시,이,석불좌상,미륵불,손,모습,보아,석가여래,책상다리,모습,광배,윗,부분,얼굴,눈,코,부위,등,채색,흔적,일부,이,불상,몸체,얼굴,부위,크게,묘사,오른쪽,어깨,옷차림,표현,두,손,부처,모든,악마,굴복,손,모양새,취하,고사,고려,초,원광,스님,이,불상,제작,기법,등,보아,고려말,지방,작품"
